item_key,doi,year,journal,title
22KUZ2GC,10.7748/ns.10.5.16.s31,1995,Nursing Standard,Strike threat still looms
2338UXPS,10.5860/choice.50-2275,2012,Choice Reviews Online,The broken table: the Detroit newspaper strike and the state of American labor
248CCKK3,10.1136/bmj.312.7038.1059,1996,BMJ,Brazilian health workers go on strike
24Q4MEJS,10.1136/bmj.320.7248.1494/b,2000,BMJ,Irish juniors defer their strike
25UGS664,10.1016/s0313-5926(08)50007-5,2008,Economic Analysis and Policy,Social Capital and Tax Morale in Spain
28C2VZEH,10.1038/nature.2014.14981,2014,Nature,Hummingbird diversity still booming
295MZ536,10.1177/001979398203500309,1982,ILR Review,Models of Militancy: Support for Strikes and Work Actions among Public Employees
2B32EGPS,10.1177/001979398103400302,1981,ILR Review,Strike Activity and Wage Determination under Rapid Inflation: The Chilean Case
2BZH2WDU,10.1378/chest.13-2024,2014,Chest,Physician Strikes
2D9VEUGI,10.1080/03056244.2015.1087396,2015,Review of African Political Economy,The unmaking and remaking of industrial relations: the case of Impala Platinum and the 2012–2013 platinum stri
2IW9XVIT,10.5465/ambpp.2020.14793abstract,2020,Academy of Management Proceedings,A Brief Intervention to Promote Team Diversity Beliefs and Team Information Elaboration
2KZ2NE4I,10.7748/ns.30.13.30.s36,2015,Nursing Standard,Time for nurses to drop the victim mentality and realise our worth
2QKSDKVW,10.1163/15723747-21020004,2024,International Organizations Law Review,The Freedom of Association as Seen by the International Administrative Tribunals
2TNKWQJR,10.1177/096973309700400410,1997,Nursing Ethics,Strikes - an Appropriate Action for Health Care Employees? a personal perspective
2U2KZS45,10.7148/2012-0638-0643,2012,"ECMS 2012 Proceedings edited by: K. G. Troitzsch, M. Moehrin",Exploring Tax Compliance: An Agent-Based Simulation
2UKNHEHD,10.1215/15476715-1461131,2012,Labor,The Irish Girls' Rising: Building the Women's Labor Movement in Progressive-Era Chicago
2URUMWZZ,10.1177/088610999701200204,1997,Affilia,Marginalization and the Single Mother: A Comparison of Two Studies
2W7T23QN,10.4018/978-1-4666-3637-8.ch012,2013,Digital Democracy and the Impact of Technology on Governance,Right to Governance and Right to Collective Bargaining
2XP3PDTH,10.1080/02699939508408963,1995,Cognition &amp; Emotion,The role of surprise in the attribution process
33Q66GKK,10.1080/03056244.2011.552754,2011,Review of African Political Economy,The hidden element in the 2010 public-sector strike in South Africa
33QUNSP7,10.1145/3490100.3516457,2022,27th International Conference on Intelligent User Interfaces,Inequity in Popular Speech Recognition Systems for Accented English Speech
36N3QHQB,10.1136/bmj.d6299,2011,BMJ,Dutch GPs are set to strike over 10% cuts to primary care budget
37ICN9BR,10.1001/jama.1989.03420110017003,1989,JAMA: The Journal of the American Medical Association,This St Patrick's Day Finds No Lack of Controversy at Irish Medical Journal
38SQD986,10.1016/0022-1031(90)90042-k,1990,Journal of Experimental Social Psychology,Strategic self-presentation and the avoidance of aversive events: Antecedents and consequences of self-enhance
3A9U9NCU,10.1136/bmj.g2024,2014,BMJ,"Doctors shadow patients' experiences for ""NHS Change Day"""
3ACIMGR6,10.3828/lhr.2019.9,2019,Labour History Review,Visualizing Labour: Photographing the Factory Gates in May 1968
3CKBCP53,10.1136/bmj.311.7015.1248a,1995,BMJ,Foreign doctors strike over new French law
3FA2T6D8,10.7282/T3HM5B57,2015,No Publisher Supplied,The link between flexible work arrangements and employee work outcomes
3HA46BTT,10.1017/9781316691373.009,,Political Economy of Contemporary India,New Paradigms of Labour Relations: How Much do They Explain?
3HZ5ICCT,10.3828/lhr.2020.2,2020,Labour History Review,‘The Question of Pratt’: A Syndicalist Conundrum
3SAR7XX7,10.54648/cola2008073,2008,Common Market Law Review,Industrial actions and EU economic freedoms: The autonomous collective bargaining model curtailed by the Europ
3VVJ3GKU,10.1080/10852352.2018.1470423,2018,Journal of Prevention &amp; Intervention in the Community,Two faces of employee inactivity: Procrastination and recovery
3Z4XKI53,10.7748/ns2011.11.26.11.5.p6901,2011,Nursing Standard,NHS employers limit staff leave ahead of mass pensions walkout
43B2MWX2,10.1136/bmj.i2405,2016,BMJ,The strike in numbers
43PAMX5F,10.1136/bmj.i1850,2016,BMJ,Johann Malawana: we must maintain doctors’ goodwill
46A4G83U,10.2190/9uuf-7x62-8u6k-n8lg,1978,Journal of Collective Negotiations in the Public Sector,COLLECTIVE BARGAINING LAWS AND TEACHER STRIKES
483UZF7C,10.1177/001979397703000302,1977,ILR Review,Impasse Procedures in the Canadian Federal Service: Effects on the Bargaining Process
4966SSAJ,10.1142/S0219877015500297,2015,International Journal of Innovation and Technology Managemen,Effects of Communication Style and Age Diversity in Innovation Teams
4CTWSKAM,10.1016/b978-0-12-817748-8.00026-2,2020,The Professional Protection Officer,"Strikes, Lockouts, and Labor Relations"
4FCHKH38,10.4324/9780429467554-11,2018,Mafia Violence,Violence and Regulation of the Labour Market in the Construction Sector
4FG9WKTX,10.1016/s0099-1333(99)80022-6,1999,The Journal of Academic Librarianship,The JAL guide to the professional literature
4FWTQPGQ,10.1007/bf00922737,1989,American Journal of Community Psychology,Contributions of a supportive work environment to parents' well‐being and orientation to work
