variant,canonical,issn
Strat Manag J,Strategic Management Journal,0143-2095
Strategic Management J.,Strategic Management Journal,0143-2095
Strat. Manag. J.,Strategic Management Journal,0143-2095
J Bus Venturing,Journal of Business Venturing,0883-9026
J. Bus. Venturing,Journal of Business Venturing,0883-9026
Acad Manag J,Academy of Management Journal,0001-4273
Acad. Manag. J.,Academy of Management Journal,0001-4273
Acad Manag Rev,Academy of Management Review,0363-7425
Acad. Manag. Rev.,Academy of Management Review,0363-7425
Adm Sci Q,Administrative Science Quarterly,0001-8392
Admin. Sci. Q.,Administrative Science Quarterly,0001-8392
Entrep Theory Pract,Entrepreneurship Theory and Practice,1042-2587
Entrepreneursh. Theory Pract.,Entrepreneurship Theory and Practice,1042-2587
Res Policy,Research Policy,0048-7333
Res. Policy,Research Policy,0048-7333
Technol Forecast Soc Change,Technological Forecasting and Social Change,0040-1625
Technol. Forecast. Soc. Change,Technological Forecasting and Social Change,0040-1625
Decis Support Syst,Decision Support Systems,0167-9236
Decis. Support Syst.,Decision Support Systems,0167-9236
Inf Manag,Information & Management,0378-7206
Inf. Manag.,Information & Management,0378-7206
